,BPM,headPos,headRotationY,timeStamp,x,y,z,head_positions
1574,1.0,"{'x': 0.30827033519744873, 'y': -0.01616179198026657, 'z': 0.1541958898305893}",270.2673645019531,111.63009262084961,0.30827033519744873,-0.01616179198026657,0.1541958898305893,"(0.30827033519744873, -0.01616179198026657, 0.1541958898305893, 25.865070343017578)"
1575,1.0,"{'x': 0.30901145935058594, 'y': -0.019230179488658905, 'z': 0.16282393038272858}",273.8230895996094,111.6938705444336,0.30901145935058594,-0.019230179488658905,0.16282393038272858,"(0.30901145935058594, -0.019230179488658905, 0.16282393038272858, 25.928848266601562)"
1576,1.0,"{'x': 0.31087803840637207, 'y': -0.021095208823680878, 'z': 0.1720988154411316}",276.8326110839844,111.75977897644043,0.31087803840637207,-0.021095208823680878,0.1720988154411316,"(0.31087803840637207, -0.021095208823680878, 0.1720988154411316, 25.9947566986084)"
1577,1.0,"{'x': 0.3128216862678528, 'y': -0.019831344485282898, 'z': 0.18016871809959412}",279.35760498046875,111.82662200927734,0.3128216862678528,-0.019831344485282898,0.18016871809959412,"(0.3128216862678528, -0.019831344485282898, 0.18016871809959412, 26.061599731445312)"
1578,1.0,"{'x': 0.3173221945762634, 'y': -0.017451945692300797, 'z': 0.19224801659584045}",285.72125244140625,111.89388084411621,0.3173221945762634,-0.017451945692300797,0.19224801659584045,"(0.3173221945762634, -0.017451945692300797, 0.19224801659584045, 26.12885856628418)"
1579,1.0,"{'x': 0.32586944103240967, 'y': -0.014916561543941498, 'z': 0.20661458373069763}",294.3296813964844,111.95946884155273,0.32586944103240967,-0.014916561543941498,0.20661458373069763,"(0.32586944103240967, -0.014916561543941498, 0.20661458373069763, 26.194446563720703)"
1580,1.0,"{'x': 0.3336104452610016, 'y': -0.011978570371866226, 'z': 0.2166145294904709}",300.320068359375,112.02670860290527,0.3336104452610016,-0.011978570371866226,0.2166145294904709,"(0.3336104452610016, -0.011978570371866226, 0.2166145294904709, 26.261686325073242)"
1581,1.0,"{'x': 0.34066691994667053, 'y': -0.009347274899482727, 'z': 0.22215348482131958}",303.800048828125,112.0935230255127,0.34066691994667053,-0.009347274899482727,0.22215348482131958,"(0.34066691994667053, -0.009347274899482727, 0.22215348482131958, 26.328500747680664)"
1582,1.0,"{'x': 0.3454704284667969, 'y': -0.008433807641267776, 'z': 0.22510278224945068}",304.2060241699219,112.1595516204834,0.3454704284667969,-0.008433807641267776,0.22510278224945068,"(0.3454704284667969, -0.008433807641267776, 0.22510278224945068, 26.394529342651367)"
1583,1.0,"{'x': 0.3482288122177124, 'y': -0.008464094251394272, 'z': 0.22629740834236145}",303.38629150390625,112.22654151916504,0.3482288122177124,-0.008464094251394272,0.22629740834236145,"(0.3482288122177124, -0.008464094251394272, 0.22629740834236145, 26.461519241333008)"
1584,1.0,"{'x': 0.3530311584472656, 'y': -0.01047753170132637, 'z': 0.22886356711387634}",304.3224182128906,112.2927474975586,0.3530311584472656,-0.01047753170132637,0.22886356711387634,"(0.3530311584472656, -0.01047753170132637, 0.22886356711387634, 26.527725219726562)"
